Code	Category	Decision_FW
N07yH	4	exclusion code
N07yy	4	exclusion code
N0826	4	exclusion code
N0829	4	exclusion code
N082Q	4	exclusion code
N082R	4	exclusion code
N0836	4	exclusion code
N0839	4	exclusion code
N083n	4	exclusion code
N083p	4	exclusion code
N083q	4	exclusion code
N083r	4	exclusion code
N3682	4	exclusion code
N0206	5	exclusion code
N020x	5	exclusion code
N0216	5	exclusion code
N021x	5	exclusion code
N0226	5	exclusion code
N022x	5	exclusion code
N024	5	exclusion code
N0856	5	exclusion code
N0859	5	exclusion code
N085P	5	exclusion code
N098B	5	exclusion code
N098C	5	exclusion code
N09y9	5	exclusion code
N09z9	5	exclusion code
N3241	5	exclusion code
N3243	5	exclusion code
N3270	5	exclusion code
N3271	5	exclusion code
N3272	5	exclusion code
N3373	5	exclusion code
Nyu35	5	exclusion code
Nyu36	5	exclusion code
N07y5	5	exclusion code
N071A	5	exclusion code
N071C	5	exclusion code
N072	5	exclusion code
N0720	5	exclusion code
N0721	5	exclusion code
N0722	5	exclusion code
N073	5	exclusion code
N0701	5	exclusion code
N0709	5	exclusion code
N070A	5	exclusion code
N070B	5	exclusion code
N0711	5	exclusion code
N0846	5	exclusion code
N084a	5	exclusion code
N0000	6	exclusion code
N0002	6	exclusion code
N0003	6	exclusion code
N0004	6	exclusion code
N0005	6	exclusion code
N0006	6	exclusion code
N000z	6	exclusion code
N001	6	exclusion code
N0010	6	exclusion code
N0011	6	exclusion code
N0012	6	exclusion code
N002	6	exclusion code
N003	6	exclusion code
N0030	6	exclusion code
N0031	6	exclusion code
N003X	6	exclusion code
N004	6	exclusion code
N005	6	exclusion code
N012	6	exclusion code
N0120	6	exclusion code
N0121	6	exclusion code
N0122	6	exclusion code
N0123	6	exclusion code
N0124	6	exclusion code
N0125	6	exclusion code
N0126	6	exclusion code
N0127	6	exclusion code
N012x	6	exclusion code
N012y	6	exclusion code
N012z	6	exclusion code
N013	6	exclusion code
N0134	6	exclusion code
N0135	6	exclusion code
N0136	6	exclusion code
N0137	6	exclusion code
N013x	6	exclusion code
N013z	6	exclusion code
N023	6	exclusion code
N0234	6	exclusion code
N0235	6	exclusion code
N0236	6	exclusion code
N0237	6	exclusion code
N023x	6	exclusion code
N023z	6	exclusion code
N03	6	exclusion code
N030	6	exclusion code
N0301	6	exclusion code
N0302	6	exclusion code
N031	6	exclusion code
N0310	6	exclusion code
N0311	6	exclusion code
N0312	6	exclusion code
N0320	6	exclusion code
N035	6	exclusion code
N03x9	6	exclusion code
N03xB	6	exclusion code
N03xC	6	exclusion code
N03xD	6	exclusion code
N03xE	6	exclusion code
N04	6	exclusion code
N040	6	exclusion code
N0400	6	exclusion code
N0401	6	exclusion code
N0402	6	exclusion code
N0403	6	exclusion code
N0404	6	exclusion code
N0405	6	exclusion code
N0406	6	exclusion code
N0407	6	exclusion code
N0408	6	exclusion code
N0409	6	exclusion code
N040A	6	exclusion code
N040B	6	exclusion code
N040C	6	exclusion code
N040D	6	exclusion code
N040E	6	exclusion code
N040F	6	exclusion code
N040G	6	exclusion code
N040H	6	exclusion code
N040J	6	exclusion code
N040K	6	exclusion code
N040L	6	exclusion code
N040M	6	exclusion code
N040N	6	exclusion code
N040P	6	exclusion code
N040Q	6	exclusion code
N040R	6	exclusion code
N040S	6	exclusion code
N040T	6	exclusion code
N041	6	exclusion code
N042	6	exclusion code
N042z	6	exclusion code
N043	6	exclusion code
N0430	6	exclusion code
N0431	6	exclusion code
N0432	6	exclusion code
N0433	6	exclusion code
N043z	6	exclusion code
N044	6	exclusion code
N045	6	exclusion code
N0450	6	exclusion code
N0451	6	exclusion code
N0452	6	exclusion code
N0453	6	exclusion code
N0454	6	exclusion code
N0455	6	exclusion code
N0456	6	exclusion code
N0457	6	exclusion code
N04X	6	exclusion code
N04y	6	exclusion code
N04y0	6	exclusion code
N04y1	6	exclusion code
N04y2	6	exclusion code
N04y3	6	exclusion code
N04yz	6	exclusion code
N04z	6	exclusion code
N10	6	exclusion code
N100	6	exclusion code
N101	6	exclusion code
N102	6	exclusion code
N10y	6	exclusion code
N10y0	6	exclusion code
N10yz	6	exclusion code
N11F	6	exclusion code
N11y0	6	exclusion code
N11y1	6	exclusion code
N20	6	exclusion code
N200	6	exclusion code
Nyu1	6	exclusion code
Nyu10	6	exclusion code
Nyu11	6	exclusion code
Nyu12	6	exclusion code
Nyu13	6	exclusion code
Nyu14	6	exclusion code
Nyu15	6	exclusion code
Nyu16	6	exclusion code
Nyu17	6	exclusion code
Nyu1C	6	exclusion code
Nyu1G	6	exclusion code
Nyu4	6	exclusion code
Nyu40	6	exclusion code
Nyu41	6	exclusion code
Nyu42	6	exclusion code
Nyu43	6	exclusion code
Nyu44	6	exclusion code
Nyu45	6	exclusion code
Nyu47	6	exclusion code
Nyu48	6	exclusion code
Nyu4C	6	exclusion code
Nyu4E	6	exclusion code
Nyu4F	6	exclusion code
Nyu61	6	exclusion code
N0925	6	exclusion code
N0926	6	exclusion code
N0927	6	exclusion code
N0929	6	exclusion code
N092K	6	exclusion code
N092L	6	exclusion code
N092M	6	exclusion code
N092N	6	exclusion code
N092P	6	exclusion code
N092Q	6	exclusion code
N02	6	exclusion code
N01w9	6	exclusion code
N01wB	6	exclusion code
N01wC	6	exclusion code
