Code	Category	Decision_FW
X703K	1	exclusion code
N05zJ	1	exclusion code
X703L	1	exclusion code
XaYQD	1	exclusion code
N05zL	1	exclusion code
X703M	1	exclusion code
N05zN	1	exclusion code
X703N	1	exclusion code
N0515	1	exclusion code
N0516	1	exclusion code
N0517	1	exclusion code
N0526	1	exclusion code
N0527	1	exclusion code
XE1DX	1	exclusion code
X7043	1	exclusion code
N0537	1	exclusion code
XE1DY	1	exclusion code
X7042	1	exclusion code
XE1DZ	1	exclusion code
N0500	1	exclusion code
N0502	1	exclusion code
N050z	1	exclusion code
N0505	1	exclusion code
X7043	1	exclusion code
XE2Qb	1	exclusion code
N0600	1	exclusion code
N0605	1	exclusion code
N0606	1	exclusion code
N0607	1	exclusion code
N0609	1	exclusion code
N060z	1	exclusion code
PKy7B	1	exclusion code
N0545	1	exclusion code
N0546	1	exclusion code
N0547	1	exclusion code
N0549	1	exclusion code
N054z	1	exclusion code
N05zL	1	exclusion code
N05zM	1	exclusion code
X7031	1	exclusion code
XE1De	1	exclusion code
XE1Df	1	exclusion code
XE1Dg	1	exclusion code
XE1Gm	1	exclusion code
X76rj	1	exclusion code
X76rk	1	exclusion code
XSDGs	1	exclusion code
N067	1	exclusion code
N051B	1	exclusion code
N06y5	1	exclusion code
N06y6	1	exclusion code
N06y7	1	exclusion code
N06y9	1	exclusion code
N0665	1	exclusion code
N0666	1	exclusion code
N0667	1	exclusion code
X700A	1	exclusion code
N06z9	1	exclusion code
XE1Dn	1	exclusion code
N0519	1	exclusion code
N051A	1	exclusion code
N0529	1	exclusion code
X7007	1	exclusion code
XE1Do	1	exclusion code
X7006	1	exclusion code
N052A	1	exclusion code
XaC1I	1	exclusion code
XE1Dp	1	exclusion code
X7005	1	exclusion code
XE2Qc	1	exclusion code
N0650	1	exclusion code
N0655	1	exclusion code
N0656	1	exclusion code
N0657	1	exclusion code
N0658	1	exclusion code
N0659	1	exclusion code
XE1Di	1	exclusion code
N065A	1	exclusion code
Nyu20	1	exclusion code
Nyu21	1	exclusion code
Nyu22	1	exclusion code
Nyu23	1	exclusion code
Nyu24	1	exclusion code
Nyu26	1	exclusion code
Nyu27	1	exclusion code
Nyu2F	1	exclusion code
XE1GT	1	exclusion code
XE1GU	1	exclusion code
XE1GV	1	exclusion code
N065A00	1	exclusion code
N0635	1	exclusion code
N0636	1	exclusion code
N0637	1	exclusion code
N0639	1	exclusion code
X605e	2	exclusion code
X606I	2	exclusion code
XaBFE	2	exclusion code
X606J	2	exclusion code
XE08j	2	exclusion code
XE08k	2	exclusion code
7K201	2	exclusion code
7K202	2	exclusion code
7K20y	2	exclusion code
7K20z	2	exclusion code
XE08m	2	exclusion code
7K210	2	exclusion code
7K211	2	exclusion code
7K212	2	exclusion code
7K21y	2	exclusion code
7K21z	2	exclusion code
XaF7l	2	exclusion code
XaMBd	2	exclusion code
XaMBo	2	exclusion code
XaMBs	2	exclusion code
XaMBu	2	exclusion code
XaF7j	2	exclusion code
XaF7k	2	exclusion code
XE08p	2	exclusion code
XaMC6	2	exclusion code
XaF7n	2	exclusion code
XaMC4	2	exclusion code
XaMC5	2	exclusion code
XaMCA	2	exclusion code
XaMCB	2	exclusion code
XE08o	2	exclusion code
X606K	2	exclusion code
XE08r	2	exclusion code
7K230	2	exclusion code
7K231	2	exclusion code
7K232	2	exclusion code
XaBrw	2	exclusion code
7K23y	2	exclusion code
7K23z	2	exclusion code
XS2Dh	2	exclusion code
7K240	2	exclusion code
7K241	2	exclusion code
7K242	2	exclusion code
7K24y	2	exclusion code
7K24z	2	exclusion code
XE08u	2	exclusion code
7K250	2	exclusion code
7K251	2	exclusion code
7K25y	2	exclusion code
7K25z	2	exclusion code
XM1Hp	2	exclusion code
XaBFG	2	exclusion code
XE08j	2	exclusion code
XE08k	2	exclusion code
7K201	2	exclusion code
7K202	2	exclusion code
7K20y	2	exclusion code
7K20z	2	exclusion code
X606L	2	exclusion code
X606M	2	exclusion code
Xa3uq	2	exclusion code
Xa3y6	2	exclusion code
X606N	2	exclusion code
XaBFJ	2	exclusion code
X606O	2	exclusion code
XaPtO	2	exclusion code
XaPtT	2	exclusion code
XaPtS	2	exclusion code
XaPtR	2	exclusion code
XaPtQ	2	exclusion code
XaPtP	2	exclusion code
XaPtU	2	exclusion code
XaPtV	2	exclusion code
XE08w	2	exclusion code
7K300	2	exclusion code
7K301	2	exclusion code
7K302	2	exclusion code
7K30y	2	exclusion code
7K30z	2	exclusion code
XE08y	2	exclusion code
XaBFM	2	exclusion code
7K310	2	exclusion code
7K311	2	exclusion code
7K312	2	exclusion code
7K31y	2	exclusion code
7K31z	2	exclusion code
XE090	2	exclusion code
7K32y	2	exclusion code
7K32z	2	exclusion code
XE091	2	exclusion code
XE092	2	exclusion code
X606P	2	exclusion code
X606Q	2	exclusion code
X606R	2	exclusion code
7K37	2	exclusion code
7K370	2	exclusion code
7K371	2	exclusion code
7K372	2	exclusion code
7K39	2	exclusion code
7K390	2	exclusion code
7K391	2	exclusion code
7K392	2	exclusion code
7K38	2	exclusion code
7K380	2	exclusion code
7K381	2	exclusion code
7K382	2	exclusion code
XaOPm	2	exclusion code
X606S	2	exclusion code
X606T	2	exclusion code
Xa1Qa	2	exclusion code
XaM98	2	exclusion code
7K372	2	exclusion code
7K392	2	exclusion code
7K382	2	exclusion code
XaM94	2	exclusion code
7K37x	2	exclusion code
7K38x	2	exclusion code
7K39x	2	exclusion code
XE08x	2	exclusion code
XE08z	2	exclusion code
XE093	2	exclusion code
XE094	2	exclusion code
XaBtF	2	exclusion code
XE095	2	exclusion code
XaM99	2	exclusion code
X606U	2	exclusion code
X606V	2	exclusion code
Xaaso	2	exclusion code
XaasX	2	exclusion code
XaasW	2	exclusion code
7K80	2	exclusion code
7K800	2	exclusion code
7K801	2	exclusion code
7K802	2	exclusion code
7K82	2	exclusion code
7K820	2	exclusion code
7K821	2	exclusion code
7K822	2	exclusion code
7K81	2	exclusion code
7K810	2	exclusion code
7K811	2	exclusion code
7K812	2	exclusion code
X606q	2	exclusion code
XaPtA	2	exclusion code
X606r	2	exclusion code
XaC3B	2	exclusion code
XaC3C	2	exclusion code
XaC3D	2	exclusion code
XaC3E	2	exclusion code
XaCLM	2	exclusion code
X606t	2	exclusion code
X606v	2	exclusion code
X606u	2	exclusion code
XaM93	2	exclusion code
XaM92	2	exclusion code
Xa1QY	2	exclusion code
XaMJe	2	exclusion code
XaM8h	2	exclusion code
XaM8i	2	exclusion code
7K202	2	exclusion code
7K212	2	exclusion code
7K232	2	exclusion code
7K242	2	exclusion code
XaMBg	2	exclusion code
XaMBq	2	exclusion code
7K223	2	exclusion code
7K252	2	exclusion code
7K253	2	exclusion code
XE08l	2	exclusion code
XE08n	2	exclusion code
XE08q	2	exclusion code
XE08s	2	exclusion code
XE08t	2	exclusion code
XE08v	2	exclusion code
XE2n8	2	exclusion code
XaEGF	2	exclusion code
XaEGG	2	exclusion code
XaM8j	2	exclusion code
XaMC7	2	exclusion code
XaMC8	2	exclusion code
Xa1Qa	2	exclusion code
XaM98	2	exclusion code
7K372	2	exclusion code
7K392	2	exclusion code
7K382	2	exclusion code
XaM94	2	exclusion code
7K37x	2	exclusion code
7K38x	2	exclusion code
7K39x	2	exclusion code
XE08x	2	exclusion code
XE08z	2	exclusion code
XE093	2	exclusion code
XE094	2	exclusion code
XaBtF	2	exclusion code
XE095	2	exclusion code
XaM99	2	exclusion code
Xa1Qi	2	exclusion code
XaasY	2	exclusion code
Xaast	2	exclusion code
Xaasr	2	exclusion code
7K802	2	exclusion code
7K812	2	exclusion code
7K822	2	exclusion code
7K80x	2	exclusion code
7K81x	2	exclusion code
7K82x	2	exclusion code
XA0H0	3	exclusion code
XA0H1	3	exclusion code
Xa84X	3	exclusion code
S130	3	exclusion code
S1300	3	exclusion code
S1301	3	exclusion code
S1302	3	exclusion code
S1303	3	exclusion code
S1304	3	exclusion code
S1305	3	exclusion code
S1306	3	exclusion code
S130y	3	exclusion code
S130z	3	exclusion code
S131	3	exclusion code
S1310	3	exclusion code
S1311	3	exclusion code
S1312	3	exclusion code
S1313	3	exclusion code
S1314	3	exclusion code
S1315	3	exclusion code
S1316	3	exclusion code
S131y	3	exclusion code
S131z	3	exclusion code
XA0H2	3	exclusion code
XM0BD	3	exclusion code
XA0H3	3	exclusion code
S1347	3	exclusion code
S1357	3	exclusion code
S1346	3	exclusion code
S1356	3	exclusion code
XA0H4	3	exclusion code
S1340	3	exclusion code
S1344	3	exclusion code
S1345	3	exclusion code
S1350	3	exclusion code
S1354	3	exclusion code
S1355	3	exclusion code
XA0H6	3	exclusion code
Xa7nx	3	exclusion code
Xa7ny	3	exclusion code
XA0H7	3	exclusion code
S1321	3	exclusion code
S1322	3	exclusion code
S132	3	exclusion code
S1320	3	exclusion code
S132y	3	exclusion code
S132z	3	exclusion code
S133	3	exclusion code
S1330	3	exclusion code
S1331	3	exclusion code
S1332	3	exclusion code
S133y	3	exclusion code
S133z	3	exclusion code
XA0H8	3	exclusion code
XA0H9	3	exclusion code
S1343	3	exclusion code
S1353	3	exclusion code
